"","x"
"1",1
"2",2
"3",5
"4",3
"5",3
"6",1
"7",1
"8",1
"9",3
"10",3
"11",1
"12",2
"13",5
"14",3
"15",3
"16",3
"17",3
"18",3
"19",3
"20",5
"21",3
"22",3
"23",3
"24",2
"25",3
"26",3
"27",3
"28",1
"29",3
"30",6
"31",1
"32",3
"33",3
"34",1
"35",3
"36",1
"37",3
"38",3
"39",1
"40",4
"41",3
"42",3
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",7
"50",5
"51",7
"52",1
"53",3
"54",2
"55",2
"56",3
"57",3
"58",3
"59",3
"60",1
"61",4
"62",3
"63",3
"64",7
"65",3
"66",1
"67",3
"68",3
"69",1
"70",3
"71",3
"72",2
"73",4
"74",2
"75",3
"76",3
"77",5
"78",3
"79",4
"80",1
"81",2
"82",1
"83",4
"84",1
"85",4
"86",3
"87",2
"88",2
"89",5
"90",4
"91",3
"92",2
"93",1
"94",4
"95",3
"96",2
"97",3
"98",3
"99",2
"100",7
"101",5
"102",4
"103",3
"104",3
"105",3
"106",3
"107",1
"108",3
"109",2
"110",2
"111",4
"112",1
"113",2
"114",5
"115",7
"116",4
"117",2
"118",4
"119",3
"120",3
"121",2
"122",3
"123",3
"124",3
"125",1
"126",3
"127",1
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",7
"135",1
"136",3
"137",2
"138",4
"139",7
"140",7
"141",1
"142",2
"143",1
"144",2
"145",3
"146",1
"147",1
"148",2
"149",3
"150",1
"151",1
"152",1
"153",3
"154",3
"155",7
"156",3
"157",3
"158",3
"159",1
"160",3
"161",3
"162",3
"163",3
"164",6
"165",6
"166",6
"167",1
"168",3
"169",4
"170",1
"171",3
"172",3
"173",1
"174",1
"175",3
"176",6
"177",3
"178",6
"179",7
"180",3
"181",3
"182",3
"183",1
"184",1
"185",3
"186",3
"187",7
"188",6
"189",5
"190",1
"191",1
"192",3
"193",1
"194",6
"195",3
"196",1
"197",6
"198",1
"199",1
"200",3
"201",3
"202",6
"203",3
"204",1
"205",3
"206",3
"207",3
"208",3
"209",7
"210",6
"211",3
"212",3
"213",3
"214",3
"215",3
"216",4
"217",3
"218",3
"219",3
"220",6
"221",6
"222",3
"223",3
"224",3
"225",1
"226",3
"227",3
"228",1
"229",3
"230",5
"231",3
"232",3
"233",4
"234",3
"235",3
"236",3
"237",3
"238",2
"239",6
"240",3
"241",3
"242",6
"243",5
"244",6
"245",3
"246",7
"247",3
"248",3
"249",3
"250",2
"251",2
"252",4
"253",3
"254",3
"255",3
"256",3
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",3
"264",3
"265",3
"266",3
"267",3
"268",5
"269",1
"270",5
"271",3
"272",7
"273",1
"274",3
"275",5
"276",6
"277",3
"278",3
"279",3
"280",3
"281",3
"282",2
"283",2
"284",3
"285",3
"286",1
"287",3
"288",3
"289",5
"290",6
"291",4
"292",3
"293",2
"294",2
"295",3
"296",3
"297",3
"298",3
"299",3
"300",2
"301",3
"302",3
"303",4
"304",4
"305",2
"306",3
"307",4
"308",1
"309",2
"310",2
"311",7
"312",2
"313",4
"314",1
"315",1
"316",7
"317",1
"318",5
"319",2
"320",1
"321",7
"322",3
"323",2
"324",5
"325",5
"326",5
"327",7
"328",5
"329",5
"330",5
"331",5
"332",5
"333",5
"334",5
"335",1
"336",1
"337",1
"338",5
"339",1
"340",5
"341",5
"342",1
"343",2
"344",4
"345",4
"346",1
"347",2
"348",1
"349",4
"350",1
"351",7
"352",1
"353",3
"354",3
"355",7
"356",5
"357",5
"358",5
"359",5
"360",5
"361",5
"362",5
"363",5
"364",5
"365",5
"366",5
"367",5
"368",5
"369",5
"370",5
"371",5
"372",1
"373",5
"374",5
"375",5
"376",5
"377",5
"378",5
"379",5
"380",3
"381",5
"382",5
"383",5
"384",5
"385",5
"386",5
"387",5
"388",5
"389",1
"390",5
"391",5
"392",2
"393",7
"394",5
"395",7
"396",5
"397",5
"398",7
"399",5
"400",5
"401",5
"402",5
"403",5
"404",7
"405",5
"406",1
"407",5
"408",5
"409",5
"410",5
"411",7
"412",5
"413",5
"414",7
"415",5
"416",2
"417",2
"418",7
"419",7
"420",5
"421",5
"422",5
"423",5
"424",7
"425",2
"426",5
"427",7
"428",7
"429",7
"430",5
"431",5
"432",1
"433",1
"434",1
"435",4
"436",1
"437",7
"438",3
"439",3
"440",4
"441",3
"442",5
"443",3
"444",5
"445",3
"446",3
"447",3
"448",3
"449",3
"450",3
"451",3
"452",3
