"","x"
"333604946",1
"324466858",2
"325941643",7
"397353539",4
"467703703",4
"323540736",5
"471085676",5
"469610831",1
"471800189",8
"329550137",4
"323452196",1
"464212183",2
"313862022",7
"324025297",3
"469798159",4
"348592897",4
"468120757",4
"314822529",4
"314804042",4
"320668879",7
"318733871",3
"314900022",8
"314642645",4
"320466871",2
"466632464",8
"324521027",3
"395830185",4
"341442651",5
"370351753",4
"471767045",9
"336676216",5
"471819401",8
"471786879",4
"471077468",1
"321906005",4
"471087830",1
"422738880",4
"471789504",8
"471077857",5
"323535089",6
"471758398",3
"386049446",3
"333785962",5
"321707905",5
"466245544",5
"313862373",1
"322197160",1
"469801569",1
"323834998",10
"320654829",7
"313862306",10
"313861608",5
"397351623",4
"469704261",2
"354190013",2
"349621141",4
"324025371",4
"471141261",4
"471410185",8
"321923685",1
"469753383",6
"314831019",3
"471143169",4
"396968721",10
"323865917",4
"467782778",5
"320207387",3
"327962063",4
"324493977",1
"469793303",4
"471129934",3
"324257146",2
"464188580",6
"466664172",2
"318808427",4
"354833767",8
"464198958",7
"382982932",8
"475585413",6
"396608557",5
"482516216",2
"475586130",1
"475622680",6
"473564515",1
"473943881",6
"480353286",4
"475622793",2
"476216637",2
"480116737",7
"475744706",6
"476131588",4
"475625477",2
"475549334",5
"474267418",6
"473020156",4
"478396248",2
"478499902",3
"476218657",4
"478586295",2
"475542743",10
"476048909",7
"476087653",6
"476126528",4
"476455864",3
"476049169",4
"476457450",3
"476104386",5
"475459689",4
"477880128",2
"474660482",2
"478107198",6
"478058328",5
"473011949",2
"473601979",7
"475049291",10
"479220013",6
"475202388",2
"479905853",6
"479179020",3
"480114344",3
"475515168",2
"480087928",3
"480124551",4
"476451456",4
"475888653",1
"479728896",4
"480640846",5
"477135941",4
"476616076",4
"478892782",4
"478497530",3
"478888052",3
"476054887",4
"476686112",10
"478888083",1
"473611755",8
"327644217",2
"474626527",6
"475517090",10
"475057898",10
"475068599",1
"475585451",2
"481001895",1
"482435718",2
"480351780",4
"481136138",5
"478793814",1
"476754635",2
"476263004",8
"482516713",5
"482690728",5
"482644550",5
"484564503",4
"483061182",3
"324266189",10
"468193142",4
"479010903",3
"479704527",3
"483111429",5
"485161419",3
"483020137",8
"479013100",3
"485836906",4
"485574832",9
"485880739",9
"480003970",9
"484742372",5
"483068687",3
"485466109",6
"484635029",5
"480169178",3
"485574721",3
"484571248",1
"485905391",5
"485912047",3
"485835016",9
"484679812",8
"485835055",9
"485058595",10
"486502127",3
"487601493",3
"487661754",8
"488674910",1
"487667205",5
"487664663",8
"488680211",8
"487099387",10
"486052980",9
"486110216",7
"321023397",1
"473543792",1
"485909730",4
"486783119",5
"486111903",9
"486146717",3
"487176969",1
"484559000",9
"488501071",5
"485184849",5
"488697163",3
"488420599",3
"488679042",9
"488117124",4
"490382353",1
"490259231",4
"476823462",4
"486560376",3
"476562817",4
"473593847",10
"485838981",9
"485911892",3
"483092310",3
"485931158",3
"480122859",3
"485837504",3
"490485142",6
"490205998",3
"476135066",4
"486893033",4
"490916882",9
"488680917",9
"501845630",3
"485468180",3
"483101699",4
"490387590",5
"488695444",3
"502269786",3
"488504814",5
"486239338",3
"503823047",7
"502267531",3
"503286448",3
"501845152",6
"502999078",3
"502359001",3
"501956013",3
"502978383",4
"501798889",2
"502366405",9
"386970660",4
"507918877",8
"488683425",9
"509881736",7
"515249852",9
"510658021",4
"517330781",10
"517647182",3
"513531471",3
"515986607",8
"517343484",2
"501850666",2
"517077548",6
"513800575",3
"515771244",3
"512319604",4
"515435668",3
"502614426",3
"522152249",8
"522301604",3
"526573598",3
"521938313",4
"488687894",8
"508980706",8
"509003464",4
"501841672",8
"512322162",3
"515464483",3
"521409057",7
"509515969",5
"524850271",7
"486025194",4
"519749342",10
"510715606",5
"514824979",8
"486262299",7
"486132712",9
"501799874",8
"503814817",8
"502383543",3
"510136749",3
"502367941",3
"517353438",2
"514767977",2
"501847931",8
"479225080",4
"481093525",5
"507101551",3
"329550277",4
"497611660",7
"488698341",9
"527095729",6
"524689239",8
"516362762",2
"517345160",2
"506133241",4
"515524026",3
"517319635",3
"513510227",3
"526643573",3
"526668864",2
"526950199",4
"527826878",3
"527869035",6
"526531616",6
"535708196",2
"535728342",8
"565209132",6
"561325425",1
"565888394",2
"567320213",2
"560753350",10
"530737765",2
"560992553",6
"564346637",1
"567952169",5
"566761793",10
"576084692",1
"576132767",11
"548459652",2
"571709783",5
"527952884",10
"528015670",3
"558211203",2
"569107566",11
"528614014",7
"569820130",7
"530081951",10
"526725807",11
"528042185",7
"569849486",11
"520454345",7
"531526539",11
"525133308",7
"567763632",7
"488386504",1
"528687520",5
"525018757",1
"508378649",7
"488418027",1
"537266147",11
"529845713",11
"488386626",5
"595999306",2
"577218602",6
"575774870",6
"585947309",1
"575642695",2
"574067499",5
"555697303",6
"565462089",1
"586559181",10
"585952606",5
"562003142",8
"508421103",3
"508405843",10
"508298270",7
"508282493",7
"508279351",7
"508417989",7
"528602977",11
"527941296",11
"527891102",11
"519832676",7
"508305938",11
"508410761",11
"528038990",7
"528022041",7
"542137330",7
"520631294",7
"529889679",11
"539653924",11
"526734407",1
"529898751",11
"542143598",7
"529878215",11
"539661667",7
"537218493",11
"530062215",11
"569818704",7
"569820026",3
"548494556",11
"548421866",11
"541563728",11
"531517732",11
"548408551",11
"537297470",11
"548425467",11
"567731428",7
"531520637",5
"529863215",11
"569844159",11
"569095789",2
"571435969",10
"569100745",11
"545604343",10
"548457754",11
"571429412",7
"576095991",10
